OverallQual,OverallCond,YearBuilt,SalePrice,GrLivArea,TotalBsmtSF
8,5,2006,255000,1636,1623
7,7,1936,250000,2057,1017
5,5,1983,131000,902,864
6,5,2005,174000,1484,742
5,5,1960,154300,2274,1105
5,7,1977,143500,1268,1268
5,7,1925,88000,1015,768
5,6,1949,145000,2002,1001
6,5,2009,173733,1224,612
4,5,1970,75000,1092,546
2,3,1949,35311,480,480
4,6,1956,135000,1229,1134
7,5,1991,238000,2127,1104
6,8,1958,176500,1414,1184
6,5,1994,201000,1721,928
5,7,1900,145900,2200,1272
6,5,2005,169990,1316,1316
6,5,1993,193000,1617,1604
6,6,1980,207500,1686,1686
5,6,1977,175000,1126,1126
8,5,2003,285000,2374,1181
7,5,1968,176000,1978,832
8,5,2001,236500,1788,1753
7,5,1997,222000,2236,964
8,5,2007,201000,1466,1466
5,6,1965,117500,925,925
9,5,2006,320000,1905,1905
7,5,2004,190000,1500,1500
7,7,1960,242000,2069,585
4,5,1926,79900,747,600
7,5,2003,184900,1200,1176
7,5,2005,253000,1971,1113
7,5,2006,239799,1962,1391
7,7,1940,244400,2403,1032
6,5,1976,150900,1728,1728
7,5,1999,214000,2060,992
4,3,1977,150000,1440,1440
5,4,1967,143000,1632,1632
6,6,1958,137500,1344,819
5,6,1890,124900,1869,1088
5,6,1959,143000,1144,1144
8,5,2002,270000,1629,1616
7,5,2002,192500,1776,936
6,7,1972,197500,1381,1161
5,8,1950,129000,864,864
5,5,1965,119900,965,828
5,8,1972,133900,768,768
5,4,1969,172000,1968,784
6,5,1975,127500,980,945
6,6,1946,145000,1958,979
6,6,1980,124000,1229,561
5,5,1962,132000,1057,1057
7,5,2003,185000,1337,1337
7,5,1999,155000,1416,696
5,7,1958,116500,858,858
6,7,1977,272000,2872,1330
6,6,1976,155000,1548,804
9,5,2007,239000,1800,1800
7,5,2002,214900,1894,817
6,5,2005,178900,1484,783
5,7,1940,160000,1308,728
5,7,1955,135000,1098,1098
3,6,1910,37900,968,600
6,5,1958,140000,1095,588
4,4,1949,135000,1192,720
7,5,2003,173000,1626,764
6,5,1979,99500,918,918
7,5,2007,182000,1428,1428
7,8,1910,167500,2019,728
7,5,2000,165000,1382,673
4,7,1923,85500,869,440
7,5,2006,199900,1241,1241
4,5,1954,110000,894,894
5,6,1963,139000,1121,1121
7,9,1961,178400,999,944
8,5,1998,336000,2612,1225
7,5,2007,159895,1266,1266
8,5,2002,255900,2290,1128
5,5,1977,126000,1734,0
5,5,1950,125000,1164,1164
6,8,1910,117000,1635,485
9,5,2009,395192,1940,1930
6,6,1976,195000,2030,848
7,5,2006,197000,1576,770
8,5,1997,348000,2392,1396
8,9,1882,168000,1742,916
6,8,1964,187000,1851,822
6,5,2005,173900,1500,750
10,5,2006,337500,1718,1700
4,7,1946,121600,1230,747
5,6,1961,136500,1050,1050
6,6,1970,185000,1442,1442
3,4,1922,91000,1077,1007
7,5,2006,206000,1208,1187
3,3,1952,82000,944,0
5,6,1920,86000,691,691
8,5,2006,232000,1574,1574
5,6,1976,136905,1680,1680
7,5,2005,181000,1504,1346
5,8,1977,149900,985,985
6,3,1970,163500,1657,1657
4,4,1970,88000,1092,546
7,5,2004,240000,1710,1710
5,5,1926,102000,1522,1008
5,5,1948,135000,1271,720
5,5,1965,100000,1664,0
6,7,1923,165000,1502,602
5,4,1910,85000,1022,1022
6,5,1948,119200,1082,1082
8,6,2001,227000,1665,810
7,5,1996,203000,1504,1504
8,5,1984,187500,1360,1220
7,5,1991,160000,1472,384
7,5,2005,213490,1506,1362
4,5,2005,176000,1132,1132
7,5,2006,194000,1220,1199
5,5,1930,87000,1248,912
7,5,2005,191000,1504,1346
8,6,1976,287000,2898,1565
5,5,1972,112500,882,882
5,5,1960,167500,1264,1268
8,5,2007,293077,1646,1638
5,5,1941,105000,1376,768
6,7,1972,118000,1218,672
5,8,1916,160000,1928,686
7,3,1920,197000,3082,824
8,7,1993,310000,2520,1338
7,5,2002,230000,1654,1654
5,7,1938,119750,954,920
4,3,1957,84000,845,0
9,5,2007,315500,1620,1620
8,5,2001,287000,2263,1055
4,6,1970,97000,1344,546
4,4,1970,80000,630,630
5,4,1957,155000,1803,1134
6,8,1966,173000,1632,800
6,5,2005,196000,1306,1306
7,5,1990,262280,2329,1475
8,5,1981,278000,2524,2524
3,5,1955,139600,1733,0
9,5,2005,556581,2868,1992
5,5,1994,145000,990,990
5,4,1960,115000,1771,0
4,7,1946,84900,930,0
7,5,2007,176485,1302,1302
7,5,2007,200141,1316,1316
6,6,1964,165000,1977,816
5,6,1957,144500,1526,1216
8,5,2002,255000,1989,1065
6,5,1976,180000,1523,1193
7,5,2005,185850,1364,1364
7,6,1994,248000,1850,973
9,5,2008,335000,2184,1104
6,7,1932,220000,1991,854
8,5,2001,213500,1338,1338
3,4,1935,81000,894,894
5,5,1900,90000,2337,662
6,6,1925,110500,1103,1103
5,6,1966,154000,1154,1154
7,5,1996,328000,2260,1306
6,7,1993,178000,1571,799
6,6,1964,167900,1611,780
6,4,1973,151400,2521,942
5,7,1949,135000,893,845
5,5,1956,135000,1048,1048
6,6,1968,154000,1556,727
5,3,1948,91500,1456,810
6,6,1977,159500,1426,690
7,5,2006,194000,1240,1240
7,6,1940,219500,1740,800
5,8,1936,170000,1466,796
5,5,1969,138800,1096,1096
6,5,2004,155900,848,848
5,5,1994,126000,990,990
6,7,1971,145000,1258,1258
5,5,1963,133000,1040,1040
7,5,2002,192000,1459,1459
6,6,1964,160000,1251,1251
6,5,1995,187500,1498,691
6,6,1992,147000,996,936
4,5,1973,83500,1092,546
8,5,2005,252000,1953,1082
7,5,2004,137500,1709,970
8,5,2005,197000,1247,1247
3,4,1950,92900,1040,0
7,5,1999,160000,1252,600
6,5,1925,136500,1694,1181
5,8,1965,146000,1200,864
5,7,1956,129000,936,936
6,5,2006,176432,1314,1314
6,7,1914,127000,1355,684
8,5,1986,170000,1088,1074
4,6,1936,128000,1324,672
7,5,1978,157000,1601,1271
2,5,1920,60000,438,290
5,5,1971,119500,950,950
5,7,1960,135000,1134,1010
6,6,1959,159500,1194,655
5,5,1970,106000,1302,630
8,5,1994,325000,2622,1463
7,5,1990,179900,1442,910
7,5,2006,274725,2021,868
6,5,2000,181000,1690,924
8,5,2004,280000,1836,1836
6,5,1995,188000,1658,773
7,6,1976,205000,1964,803
5,7,1957,129900,816,816
5,7,1953,134500,1008,1008
5,7,1954,117000,833,833
8,5,2007,318000,1734,1734
8,5,2002,184100,1419,408
5,7,1967,130000,894,894
5,6,1958,140000,1601,533
5,5,1959,133700,1040,1040
6,5,1920,118400,1012,1012
7,5,2005,212900,1552,1552
4,3,1956,112000,960,672
5,9,1947,118000,698,698
7,5,1992,163900,1482,384
4,5,1955,115000,1005,1005
7,5,2007,174000,1555,1373
7,5,2004,259000,1530,1530
7,5,2004,215000,1959,847
5,5,1980,140000,936,936
4,3,1928,135000,1981,1122
5,5,1991,93500,974,974
6,4,1880,117500,2210,1008
8,5,1995,239500,2020,1128
6,5,1997,169000,1600,916
6,5,1926,102000,986,960
6,5,1950,119000,1252,1032
5,8,1875,94000,1020,780
6,5,1977,196000,1567,1567
5,5,1920,144000,1167,915
5,7,1951,139000,952,952
5,7,1976,197500,1868,780
8,5,2006,424870,2828,1466
5,3,1959,80000,1006,1006
4,4,1941,80000,924,672
5,6,1928,149000,1576,1042
6,5,1985,180000,1298,1298
7,7,1941,174500,1564,704
7,7,1926,116900,1111,572
7,9,1920,143000,1482,650
6,5,1950,124000,932,932
5,4,1959,149900,1466,1466
6,7,1956,230000,1811,1073
6,8,1930,120500,816,816
7,6,1965,201800,1820,864
5,8,1976,218000,1437,1437
5,8,1965,179900,1265,1219
7,5,2007,230000,1314,1314
8,5,2007,235128,1580,1580
6,6,1974,185000,1876,901
6,5,1978,146000,1456,855
6,7,1954,224000,1640,1296
5,5,1968,129000,894,894
4,4,1969,108959,1258,1198
5,7,1978,194000,1432,1360
7,5,2009,233170,1502,1502
8,5,2008,245350,1694,1694
6,5,2000,173000,1671,959
6,7,1935,235000,2108,1127
10,5,1995,625000,3627,1930
6,6,1977,171000,1118,1096
6,6,1958,163000,1261,1261
7,5,2006,171900,1250,625
5,6,1946,200500,3086,1598
6,8,1932,239000,2345,952
8,5,1992,285000,2872,1683
5,5,1984,119500,923,876
6,8,1926,115000,1224,818
5,6,1921,154900,1343,731
5,5,1954,93000,1124,0
7,5,1990,250000,2514,1216
8,5,2008,392500,1652,1600
10,5,1996,745000,4476,2396
5,6,1920,120000,1130,1120
5,4,1963,186700,1572,1572
5,7,1924,104900,1221,784
3,5,1900,95000,1699,978
8,5,1994,262000,1624,1624
7,5,2002,195000,1660,831
7,5,1999,189000,1804,994
4,4,1961,168000,1622,1249
8,5,1999,174000,1441,776
5,8,1925,125000,1472,702
6,5,1999,165000,1224,1224
6,7,1969,158000,1352,663
6,5,2005,176000,1456,728
7,5,2006,219210,1863,879
7,6,1916,144000,1690,815
7,5,2001,178000,1212,1212
4,5,1963,148000,1382,1051
4,5,1970,116050,864,864
7,5,1998,197900,1779,866
5,8,1925,117000,1348,884
7,5,2000,213000,1630,1630
5,6,1975,153500,1074,1056
7,7,1990,271900,2196,2158
4,4,1966,107000,1056,1056
6,5,2003,200000,1700,1682
5,7,1962,140000,1283,931
8,5,2006,290000,1660,1660
6,5,1992,189000,1845,1055
8,7,1988,164000,1752,559
4,6,1941,113000,672,672
4,9,1965,145000,960,648
5,5,1962,134500,999,925
5,5,1966,125000,894,894
6,5,1978,112000,1902,0
8,5,2009,229456,1314,1300
4,5,1947,80500,912,0
6,5,1971,91500,1218,672
5,5,1964,115000,912,912
5,5,1968,134000,1211,952
6,6,1949,143000,1846,1040
5,3,1951,137900,2136,2136
7,5,2004,184000,1490,788
6,8,1958,145000,1138,588
6,5,2007,214000,1933,894
5,8,1965,147000,912,912
9,5,2008,367294,1702,1702
5,5,1960,127000,1507,1075
5,5,1977,190000,2620,1361
5,6,1962,132500,1190,1106
4,5,1962,101800,1224,0
5,5,1959,142000,1188,1188
5,6,1911,130000,1964,940
5,5,1914,138887,1784,747
7,5,2003,175500,1626,764
7,5,2004,195000,1948,847
6,5,2005,142500,1141,1141
8,5,2006,265900,1484,1476
7,5,2003,224900,1768,884
7,6,2007,248328,1689,1689
7,6,1974,170000,1173,1053
10,5,2006,465000,2076,2076
8,7,1929,230000,1517,792
6,7,1984,178000,1868,585
7,5,2005,186500,1553,756
6,5,1976,169900,1034,1012
6,5,1917,129500,2058,735
5,7,1950,119000,988,876
7,5,1968,244000,2110,2110
7,5,2003,171750,1405,1405
5,6,1968,130000,874,864
7,7,1974,294000,2167,1192
7,5,2003,165400,1656,746
6,6,1931,127500,1367,884
8,5,1994,301500,1987,1986
5,8,1922,99900,864,864
7,5,2005,190000,1166,856
6,8,1969,151000,1054,1054
6,5,1999,181000,1675,841
5,6,1956,128900,1050,1050
4,5,1957,161500,1788,1104
6,6,1919,180500,1824,764
6,5,1998,181000,1337,1405
7,5,1999,183900,1452,691
7,4,1910,122000,1889,925
9,5,2008,378500,2018,2002
8,9,1935,381000,3447,728
5,5,1958,144000,1524,874
7,6,1979,260000,1524,1332
6,7,1968,185750,1489,1489
5,6,1965,137000,935,935
6,7,1959,177000,1357,1019
5,6,1910,139000,1250,661
5,5,1948,137000,1920,928
6,6,1972,162000,1395,723
6,5,1967,197900,1724,1680
8,5,2002,237000,2031,1128
4,4,1920,68400,1128,698
7,5,2002,227000,1573,1573
7,5,1990,180000,1339,1309
5,7,1977,150500,1040,1040
6,5,1971,139000,1824,912
6,7,1919,169000,2447,804
6,6,1939,132500,1412,780
6,5,1963,143000,1328,1328
5,5,1964,190000,1582,1624
8,5,2000,278000,1659,1501
8,5,2006,281000,1970,1085
5,7,1964,180500,1152,1152
5,7,1972,119500,1302,630
5,4,1892,107500,2372,994
7,5,1976,162900,1664,832
5,7,1955,115000,864,864
5,5,1968,138500,1052,1052
5,6,1963,155000,1128,1120
6,5,2005,140000,1072,547
10,5,2008,160000,5642,6110
5,7,1959,154000,1246,1246
7,5,1999,225000,1983,978
6,7,1942,177500,1494,771
8,5,1994,290000,2526,1165
7,5,2005,232000,1616,1616
7,5,2004,130000,1708,976
9,5,2006,325000,1652,1652
7,5,2005,202500,1368,1368
5,5,1994,138000,990,990
5,7,1948,147000,1122,924
6,5,1991,179200,1294,1278
7,8,1959,335000,1902,1902
7,5,2005,203000,1274,1274
8,5,1990,302000,2810,1453
9,5,1999,333168,2599,1393
4,6,1954,119000,948,948
6,5,1969,206900,2112,952
8,5,2008,295493,1630,1622
7,5,2006,208900,1352,1352
8,5,2001,275000,1787,1753
4,5,1954,111000,948,864
6,3,1957,156500,1478,1478
3,6,1949,72500,720,0
7,5,1992,190000,1923,750
4,7,1940,82500,708,420
8,5,2006,147000,1795,1795
4,4,1922,55000,796,796
3,6,1931,79000,774,544
5,9,1982,130500,816,816
6,7,1920,256000,2792,1510
7,5,1998,176500,1632,935
8,5,2006,227000,1588,1588
5,5,1976,132500,954,911
4,6,1938,100000,816,816
5,6,1938,125500,1360,803
5,6,1970,125000,1365,765
6,5,1977,167900,1334,1350
5,5,1973,135000,1656,1656
4,4,1941,52500,693,693
7,5,2002,200000,1861,916
5,7,1972,128500,864,864
4,5,1971,123000,872,858
6,5,2003,155000,1114,1114
8,5,2002,228500,2169,1284
6,6,1928,177000,1913,896
7,5,2006,155835,1456,728
4,4,1920,108500,960,960
7,7,1968,262500,2156,1568
8,5,2006,283463,1776,1732
7,5,1998,215000,1494,1482
8,5,1872,122000,2358,684
5,5,1969,200000,2634,1248
6,6,1962,171000,1716,858
6,9,1937,134900,1176,698
8,5,1995,410000,3238,2033
7,5,2000,235000,1865,992
7,6,1968,170000,1920,570
5,5,1966,110000,892,864
5,6,1971,149900,1078,1078
6,5,2000,177500,1573,756
9,5,2004,315000,1980,1980
5,6,1921,189000,2601,612
7,5,2005,260000,1530,1530
4,4,1920,104900,1738,715
6,5,2006,156932,1412,616
7,5,2005,144152,1200,600
7,5,2000,216000,1674,814
7,5,1999,193000,1790,873
5,6,1977,127000,1475,757
6,5,2003,144000,848,848
8,5,2003,232000,1668,1657
4,6,1920,105000,1374,840
6,6,1955,165500,1661,992
7,6,1998,274300,2097,1108
10,5,2001,466500,2633,2633
7,5,2005,250000,1958,1026
8,5,2007,239000,1571,1571
6,5,1930,91000,790,768
5,5,1941,117000,1604,984
6,5,1973,83000,987,483
5,5,2006,167500,1394,384
3,3,1914,58500,864,864
6,7,1970,237500,2117,1205
7,7,1920,157000,1762,596
5,7,1918,112000,1416,816
6,5,1939,105000,1258,560
4,8,1922,125500,1154,796
7,5,1978,250000,2784,1392
6,7,1916,136000,2526,714
9,5,2006,377500,1746,1746
6,6,1941,131000,1218,735
7,5,2000,235000,1525,1525
5,5,1967,124000,1584,1584
5,5,1967,123000,900,864
6,7,1905,163000,1912,482
7,5,2006,246578,1500,1356
8,5,2005,281213,2482,1094
5,5,1948,160000,1687,747
5,8,1920,137500,1513,939
5,4,1950,138000,1904,1208
6,6,1925,137450,1608,976
6,7,1929,120000,1158,862
6,5,2004,193000,1593,839
7,5,2006,193879,1294,1286
8,5,2007,282922,1464,1485
3,4,1915,105000,1214,672
8,5,2004,275000,1646,1594
5,7,1972,133000,768,768
5,5,1985,112000,833,833
4,7,1910,125500,1363,622
7,6,1986,215000,2093,791
7,5,2001,230000,1840,944
6,8,1950,140000,1668,856
4,5,1949,90000,1040,0
8,5,2005,257000,1844,1844
6,7,1923,207000,1848,833
7,5,2007,175900,1569,1386
4,6,1885,122500,2290,777
8,5,1998,340000,2450,1284
5,5,1963,124000,1144,1144
6,5,1969,223000,1844,1844
6,6,1968,179900,1416,708
6,5,1977,127500,1069,1069
6,5,2003,136500,848,848
6,7,1966,274970,2201,697
5,5,1958,144000,1344,1024
6,6,1959,142000,1252,1252
7,5,1994,271000,2127,1223
5,6,1945,140000,1558,913
5,7,1940,119000,804,788
6,7,1981,182900,1440,1440
5,5,2005,192140,1838,732
6,6,1976,143750,958,958
4,6,1927,64500,968,656
6,5,2000,186500,1792,936
5,5,1977,160000,1126,1126
6,9,1962,174000,1537,1319
4,6,1971,120500,864,864
8,5,2008,394617,1932,1932
6,7,1957,149700,1236,912
7,6,1979,197000,1725,539
6,7,1922,191000,2555,588
6,5,2004,149300,848,848
10,5,2008,310000,2007,1017
6,6,1916,121000,952,952
7,5,2004,179600,1422,1422
6,5,1966,129000,913,814
5,7,1962,157900,1188,1188
8,5,1995,240000,2090,1220
4,7,1910,112000,1346,560
5,7,1970,92000,630,630
5,5,1974,136000,1792,896
8,5,2008,287090,1578,1573
5,5,2005,145000,1072,547
5,5,2006,84500,1140,1140
7,5,2004,185000,1221,1221
6,5,1999,175000,1647,953
6,6,1978,210000,2073,1542
7,9,1941,266500,2340,1152
5,6,1950,142125,1078,1078
5,6,1965,147500,1256,1256
